05/09/26,07:01,CAPE UNIVERSE,PONTO ALPHA,PIER 3 SUL,LBH BRASIL**,05/09/2026 12:56:50
05/09/26,12:12,TROMBETAS,PONTO ALPHA,ALUMAR 2,ORION RODOS**,05/09/2026 14:52:50
05/09/26,20:30,SEA LYNX,BOIA 19-24,100,CARGONAVE**,05/09/2026 20:52:31
05/09/26,22:00,AIN ATHUM,PONTO ALPHA,PIER 4 NORTE,WILHELMSEN PORT**,05/09/2026 23:05:20
05/09/26,22:30,ORE BRASIL,PONTO ALPHA,PIER 1,LMA SHIPPING **,05/09/2026 23:05:20
06/09/26,10:20,HORIZON THEANO,BOIA 19-24,106,WILHELMSEN PORT**,06/09/2026 10:29:36
07/09/26,04:12,ORE AMAZONAS,PONTO ALPHA,PIER 4 NORTE,ISS**,07/09/2026 05:05:21
07/09/26,04:35,CASTILLO DE SANTA MARIA,PONTO ALPHA,ALUMAR 2,ORION RODOS**,07/09/2026 06:39:05
07/09/26,11:50,GENCO INTREPID,PONTO ALPHA,PIER 3 SUL,WILHELMSEN PORT**,07/09/2026 11:58:44
07/09/26,12:10,MARAN FUTURE,PONTO ALPHA,PIER 4 SUL,WILHELMSEN PORT**,07/09/2026 12:54:32
07/09/26,16:54,LUCIO COSTA,BOIA 19-24,104,WILHELMSEN PORT**,07/09/2026 18:31:59
07/09/26,18:21,HORIZON EKAVI,PONTO ALPHA,108,NORTH STAR**,07/09/2026 18:45:28
08/09/26,05:45,DART,PONTO ALPHA,ALUMAR 1,WILHELMSEN PORT**,08/09/2026 06:21:59
08/09/26,12:13,GU IMABARI,BOIA 19-24,100,ALPHAMAR**,08/09/2026 13:56:21
08/09/26,14:41,SHINAS MAX,PONTO ALPHA,PIER 1,ISS**,08/09/2026 15:24:26
08/09/26,16:30,CORAL VI,BOIA 19-24,103/NORTE,WILSON SONS **,08/09/2026 16:44:53
08/09/26,17:50,SAO MASTER,PONTO ALPHA,PIER 4 SUL,ISS**,08/09/2026 18:29:00
08/09/26,17:30,MAREM,BOIA 19-24,101/SUL,LBH BRASIL**,08/09/2026 18:29:00
08/09/26,18:15,AMAZON COURAGE,PONTO ALPHA,ALUMAR 2,ORION RODOS**,08/09/2026 18:48:10
09/09/26,01:13,HAFNIA NESO,PONTO ALPHA,106,GAC**,09/09/2026 01:49:02
09/09/26,01:20,YOGA,BOIA 19-24,105,ALPHAMAR**,09/09/2026 02:55:50
09/09/26,02:05,JI XIAN FENG,PONTO ALPHA,99,WILSON SONS **,09/09/2026 02:55:50
09/09/26,02:10,FREJA BULKER,BOIA 19-24,102/CENTRO,AMART **,09/09/2026 02:55:50
09/09/26,13:50,ELANDRA STAR,BOIA 19-24,106 EXT,WILHELMSEN PORT**,09/09/2026 15:39:34
09/09/26,18:54,SEA TUBARAO,PONTO ALPHA,PIER 4 NORTE,LMA SHIPPING **,09/09/2026 20:18:39
09/09/26,18:30,HONESTY,BOIA 19-24,104,WILHELMSEN PORT**,09/09/2026 20:18:39
10/09/26,07:25,AMAZON COMMANDER,PONTO ALPHA,ALUMAR 2,ORION RODOS**,10/09/2026 07:54:39
10/09/26,15:30,SOLAR HOPE,PONTO ALPHA,PIER 3 NORTE,ISS**,10/09/2026 16:17:17
10/09/26,18:21,WADOWICE II,BOIA 19-24,102/CENTRO,LBH BRASIL**,10/09/2026 18:47:44
11/09/26,08:00,KYBELE HORIZON,PONTO ALPHA,PIER 4 SUL,LACHMANN**,11/09/2026 08:20:48
11/09/26,06:20,AROSA,BOIA 19-24,103/NORTE,ALPHAMAR**,11/09/2026 09:41:45
11/09/26,16:30,ORE SALVADOR,PONTO ALPHA,PIER 4 NORTE,LMA SHIPPING **,11/09/2026 16:46:44
11/09/26,16:00,ELANDRA STAR,BOIA 19-24,104,WILHELMSEN PORT**,11/09/2026 16:46:44
11/09/26,18:55,SEMIRAMIS,BOIA 19-24,105,FERTIMPORT - S.L **,11/09/2026 19:40:33
11/09/26,20:15,QUETZAL ARROW,BOIA 19-24,99,ROCHAMAR**,11/09/2026 20:27:38
12/09/26,03:19,FLUMAR BRASIL,BOIA 19-24,104,WILHELMSEN PORT**,12/09/2026 04:03:59
12/09/26,04:05,GOLDEN BEIJING,PONTO ALPHA,PIER 3 NORTE,ISS**,12/09/2026 05:46:00
12/09/26,04:50,ORE SHANDONG,PONTO ALPHA,PIER 1,WILHELMSEN PORT**,12/09/2026 05:46:00
